t,R,I,p,V,Parameters,goal,safe,unsafe,measurement,value
0.7000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.00027918186970055103
0.7000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.00015043899475131184
0.7000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.0002592797391116619
0.7000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.0027394487988203764
0.7000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.209922139532864e-05
0.75,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.006465917453169823
0.75,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.00029214585083536804
0.75,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-1.3466546079143882e-05
0.75,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.00024544759071432054
0.75,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.003036058973520994
0.75,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.18709163973108e-05
0.8,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.00689685670658946
0.8,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.0003044182376470417
0.8,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,0.00013833639968652278
0.8,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.00023231562227010727
0.8,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.0033179596066474915
0.8,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.164860678836703e-05
0.8500000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.007327775005251169
0.8500000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.00031603401293978095
0.8500000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,0.0003042343887500465
0.8500000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.00021983857732266188
0.8500000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.0035859423223882914
0.8500000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.143048813100904e-05
